t_s,t_days,phi_L_rad,phi_L_deg,varpi_io_rad,varpi_eu_rad,varpi_ga_rad,kappa_io,kappa_eu,kappa_ga,x_io,y_io,x_eu,y_eu,x_ga,y_ga
1089600.0,12.61111111111111,-3.135906105171612,-179.67418477564144,2.9928324674134366e-07,9.370599606254009e-08,2.9165298095426258e-08,6.679596324898214e-09,4.2039562282758284e-09,2.6335592887917953e-09,-296416404.189276,-300487974.08610535,-637766392.0843123,-207551305.17842194,84135795.94395778,-1067254145.5820994
1089900.0,12.614583333333334,-3.1359492979298365,-179.6766595383932,2.9936549577217676e-07,9.373184091746539e-08,2.9173326154103408e-08,6.679554905543261e-09,4.203995405887294e-09,2.633560097773435e-09,-292697012.4270294,-304115712.8037507,-636471653.8062818,-211467552.67488086,87389143.30672114,-1066992669.2267197
1090200.0,12.618055555555555,-3.135993004580313,-179.67916374500217,2.994477435541177e-07,9.375768639240074e-08,2.9181354215418225e-08,6.6795142449970586e-09,4.204034526320758e-09,2.633560914351408e-09,-288933239.93442714,-307697337.790156,-635152853.4924761,-215375806.44703123,90641680.7576487,-1066721273.813062
1090500.0,12.621527777777779,-3.1360372215097083,-179.68169718843956,2.9952999011047464e-07,9.37835324862705e-08,2.9189382279411675e-08,6.679474350096861e-09,4.204073587812429e-09,2.6335617384788803e-09,-285125658.18273383,-311232306.82851416,-633810040.356536,-219275918.49339956,93893378.03685135,-1066439961.8283598
1090800.0,12.625,-3.136081945061556,-179.68425965920525,2.9961223546476145e-07,9.380937919796968e-08,2.919741034612473e-08,6.679435227518256e-09,4.204112588585548e-09,2.63356257010465e-09,-281274845.2508323,-314720084.78011537,-632443264.5235642,-223167741.1124862,97144204.89189664,-1066148735.8522435
1091100.0,12.628472222222221,-3.1361271715370265,-179.686850945372,2.996944796406928e-07,9.3835226526364e-08,2.9205438415598353e-08,6.679396883774724e-09,4.2041515268514915e-09,2.633563409173027e-09,-277381385.73767215,-318160143.6644162,-631052577.0283397,-227051126.90842593,100394131.07809484,-1065847598.556719
1091400.0,12.631944444444445,-3.1361728971956975,-179.68947083262927,2.997767226621798e-07,9.386107447028987e-08,2.9213466487873492e-08,6.679359325217175e-09,4.204190400810851e-09,2.6335642556237064e-09,-273445870.67375904,-321551962.7380295,-629638029.8134967,-230925928.79663736,103643126.35878497,-1065536552.7061456
1091700.0,12.635416666666666,-3.136219118256337,-179.69211910432853,2.9985896455332505e-07,9.388692302855447e-08,2.922149456299106e-08,6.679322558033558e-09,4.204229208654464e-09,2.6335651093916454e-09,-269468897.4316977,-324895028.5726229,-628199675.7276684,-234792000.00946164,106891160.50562088,-1065215601.1572152
1092000.0,12.63888888888889,-3.1362658308976616,-179.69479554152636,2.999412053384183e-07,9.391277219993577e-08,2.9229522640991916e-08,6.679286588248444e-09,4.204267948564418e-09,2.633565970406941e-09,-265451069.63580224,-328188835.1317161,-626737568.5235962,-238649194.10178939,110138203.29885732,-1064884746.8589278
1092300.0,12.64236111111111,-3.136313031259096,-179.69749992302803,3.000234450419314e-07,9.393862198318258e-08,2.923755072191686e-08,6.679251421722648e-09,4.204306618715003e-09,2.6335668385947054e-09,-261392997.070787,-331432883.84636545,-625251762.8562034,-242497364.95667604,113384224.52763604,-1064543992.8525681
